Jahr;ICD10_Code;Diagnose_Bezeichnung;maennlich_unter_1_Jahr;maennlich_1_bis_unter_5_Jahre;maennlich_5_bis_unter_10_Jahre;maennlich_10_bis_unter_15_Jahre;maennlich_15_bis_unter_18_Jahre;maennlich_18_bis_unter_20_Jahre;maennlich_20_bis_unter_25_Jahre;maennlich_25_bis_unter_30_Jahre;maennlich_30_bis_unter_35_Jahre;maennlich_35_bis_unter_40_Jahre;maennlich_40_bis_unter_45_Jahre;maennlich_45_bis_unter_50_Jahre;maennlich_50_bis_unter_55_Jahre;maennlich_55_bis_unter_60_Jahre;maennlich_60_bis_unter_65_Jahre;maennlich_65_bis_unter_70_Jahre;maennlich_70_bis_unter_75_Jahre;maennlich_75_bis_unter_80_Jahre;maennlich_80_bis_unter_85_Jahre;maennlich_85_bis_unter_90_Jahre;maennlich_90_bis_unter_95_Jahre;maennlich_95_Jahre_und_mehr;maennlich_insgesamt;weiblich_unter_1_Jahr;weiblich_1_bis_unter_5_Jahre;weiblich_5_bis_unter_10_Jahre;weiblich_10_bis_unter_15_Jahre;weiblich_15_bis_unter_18_Jahre;weiblich_18_bis_unter_20_Jahre;weiblich_20_bis_unter_25_Jahre;weiblich_25_bis_unter_30_Jahre;weiblich_30_bis_unter_35_Jahre;weiblich_35_bis_unter_40_Jahre;weiblich_40_bis_unter_45_Jahre;weiblich_45_bis_unter_50_Jahre;weiblich_50_bis_unter_55_Jahre;weiblich_55_bis_unter_60_Jahre;weiblich_60_bis_unter_65_Jahre;weiblich_65_bis_unter_70_Jahre;weiblich_70_bis_unter_75_Jahre;weiblich_75_bis_unter_80_Jahre;weiblich_80_bis_unter_85_Jahre;weiblich_85_bis_unter_90_Jahre;weiblich_90_bis_unter_95_Jahre;weiblich_95_Jahre_und_mehr;weiblich_insgesamt;insgesamt_unter_1_Jahr;insgesamt_1_bis_unter_5_Jahre;insgesamt_5_bis_unter_10_Jahre;insgesamt_10_bis_unter_15_Jahre;insgesamt_15_bis_unter_18_Jahre;insgesamt_18_bis_unter_20_Jahre;insgesamt_20_bis_unter_25_Jahre;insgesamt_25_bis_unter_30_Jahre;insgesamt_30_bis_unter_35_Jahre;insgesamt_35_bis_unter_40_Jahre;insgesamt_40_bis_unter_45_Jahre;insgesamt_45_bis_unter_50_Jahre;insgesamt_50_bis_unter_55_Jahre;insgesamt_55_bis_unter_60_Jahre;insgesamt_60_bis_unter_65_Jahre;insgesamt_65_bis_unter_70_Jahre;insgesamt_70_bis_unter_75_Jahre;insgesamt_75_bis_unter_80_Jahre;insgesamt_80_bis_unter_85_Jahre;insgesamt_85_bis_unter_90_Jahre;insgesamt_90_bis_unter_95_Jahre;insgesamt_95_Jahre_und_mehr;insgesamt_insgesamt
;;;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt
2024;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;10955;18212;11031;6886;4460;2751;7122;7002;7766;8278;8329;8579;10832;16286;20430;21617;24415;22601;29204;23498;7741;1527;279522;9363;16127;9921;6423;5752;2983;7539;7052;7052;7148;6907;6716;8663;12464;14916;16530;19293;19979;31382;30857;13001;3864;263932;20318;34339;20952;13309;10212;5734;14661;14054;14818;15426;15236;15295;19495;28750;35346;38147;43708;42580;60586;54355;20742;5391;543454
2024;ICD10-A00-A09;  Infektiöse Darmkrankheiten;5827;12759;7326;4354;2432;1274;3582;3177;3137;2889;2414;2210;2550;3524;4275;4326;4998;4659;6433;5581;1944;404;90075;5031;11445;6782;4080;3364;1480;4180;3843;3547;3152;2829;2584;3176;4192;4889;5282;6100;6752;11062;11048;4783;1411;111012;10858;24204;14108;8434;5796;2754;7762;7020;6684;6041;5243;4794;5726;7716;9164;9608;11098;11411;17495;16629;6727;1815;201087
2024;ICD10-A00;    Cholera;0;1;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;1;0;1;0;0;2;0;1;0;0;0;0;0;2;0;1;0;1;0;0;0;9
2024;ICD10-A01;    Typhus abdominalis und Paratyphus;0;2;5;4;4;3;8;7;15;7;3;0;2;0;1;0;0;0;1;0;0;0;62;0;3;5;7;4;0;11;7;5;5;1;1;2;2;2;0;1;0;1;1;0;0;58;0;5;10;11;8;3;19;14;20;12;4;1;4;2;3;0;1;0;2;1;0;0;120
2024;ICD10-A02;    Sonstige Salmonelleninfektionen;70;272;188;138;80;49;139;78;80;59;48;64;63;95;118;142;139;89;119;78;24;2;2134;69;231;148;91;57;34;103;56;64;48;35;61;35;82;78;109;98;99;117;71;35;4;1725;139;503;336;229;137;83;242;134;144;107;83;125;98;177;196;251;237;188;236;149;59;6;3859
2024;ICD10-A03;    Shigellose (Bakterielle Ruhr);3;9;4;4;2;2;9;10;9;13;4;13;4;8;5;5;8;3;3;1;0;0;119;2;7;5;1;3;2;6;5;4;6;1;2;3;3;4;5;6;3;4;4;0;2;78;5;16;9;5;5;4;15;15;13;19;5;15;7;11;9;10;14;6;7;5;0;2;197
2024;ICD10-A04;    Sonstige bakterielle Darminfektionen;288;622;303;336;326;175;585;418;442;424;349;356;464;744;1025;1061;1281;1240;1675;1429;509;106;14158;220;491;229;257;271;163;481;483;390;400;370;394;524;788;1000;1138;1343;1452;2360;2395;981;241;16371;508;1113;532;593;597;338;1066;901;832;824;719;750;988;1532;2025;2199;2624;2692;4035;3824;1490;347;30529
2024;ICD10-A05;    Sonstige bakteriell bed. Lebensmittelvergiftungen;1;6;1;3;12;16;41;52;42;39;27;25;24;29;23;19;25;21;39;23;7;3;478;3;0;2;6;13;7;46;34;36;26;18;28;26;38;36;30;30;32;40;36;17;3;507;4;6;3;9;25;23;87;86;78;65;45;53;50;67;59;49;55;53;79;59;24;6;985
2024;ICD10-A06;    Amöbiasis;0;1;2;3;3;1;3;4;3;4;5;4;2;5;2;1;6;0;1;1;0;0;51;0;1;3;4;4;1;0;3;2;1;5;2;0;2;1;1;1;3;0;1;1;0;36;0;2;5;7;7;2;3;7;5;5;10;6;2;7;3;2;7;3;1;2;1;0;87
